,Strassenklasse,Unfalldatum,Alter,Unfallklasse,Unfallschwere,Lichtverhältnisse,Verletzte Personen,Anzahl Fahrzeuge,Bodenbeschaffenheit,Geschlecht,Zeit (24h),Fahrzeugtyp,Wetterlage
2146,nicht klassifiziert,22. Mai.,35,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,nass / feucht,weiblich,915,Auto,Regen
2147,Bundesstrasse,7. Jul.,38,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,3,nass / feucht,weiblich,1814,Auto,Gut
2148,Bundesstrasse,6. Aug.,38,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,3,nass / feucht,männlich,1724,Taxi,Regen
2149,Bundesstrasse,14. Dez.,30,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,2,nass / feucht,weiblich,2318,Auto,Gut
2150,Bundesstrasse,13-Oct-12,22,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,6,2,trocken,männlich,1025,Auto,Gut
2151,Kraftfahrzeugstrasse,03-Oct-09,29,Fahrer,1,Dunkelheit: keine Strassenbeleuchtung,1,1,trocken,männlich,630,Auto,Gut (starker Wind)
2152,Bundesstrasse,21. Mrz.,60,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1105,Bus,Gut
2153,Bundesstrasse,18. Mai.,65,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,3,2,trocken,weiblich,1225,Auto,Gut
2154,Bundesstrasse,28. Dez.,74,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,Frost / Eis,weiblich,1055,Auto,Gut
2155,Bundesstrasse,24. Nov.,65,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,nass / feucht,weiblich,950,Auto,Gut
2156,nicht klassifiziert,28. Mrz.,38,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,1145,Auto,Gut
2157,nicht klassifiziert,20. Jul.,23,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,nass / feucht,männlich,1645,Auto,Regen
2158,Bundesstrasse,4. Sep.,31,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,3,trocken,männlich,1645,Transporter,Gut
2159,nicht klassifiziert,04-Oct-11,16,Fahrer,2,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1735,Fahrrad,Gut
2160,Bundesstrasse,21. Aug.,38,Fahrer,3,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,1,nass / feucht,männlich,2220,Mottorrad (500cc),Gut
2161,nicht klassifiziert,18. Apr.,20,Passagier,2,Tageslicht: Strassenbeleuchtung vorhanden,2,1,trocken,männlich,1150,Auto,Gut
2162,Bundesstrasse,02-Oct-09,23,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1700,Auto,Gut
2163,nicht klassifiziert,04-May-11,17,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,1600,Auto,Gut
2164,Bundesstrasse,25. Apr.,34,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,5,3,trocken,männlich,1803,Auto,Gut
2165,nicht klassifiziert,2. Feb.,47,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,Schnee,männlich,935,Auto,Schnee
2166,nicht klassifiziert,12. Mrz.,29,Fahrer,2,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,nass / feucht,männlich,1805,Fahrrad,Gut
2167,nicht klassifiziert,13. Okt.,26,Fahrer,2,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,2,trocken,männlich,143,Auto,Gut
2168,Bundesstrasse,04-Mar-11,39,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,1705,Auto,Gut
2169,nicht klassifiziert,12. Jul.,50,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,1605,Auto,Gut
2170,Bundesstrasse,25. Feb.,67,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,nass / feucht,weiblich,1035,Bus,Gut
2171,nicht klassifiziert,28. Jan.,38,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,nass / feucht,männlich,813,Mottorrad (50cc),Gut
2172,nicht klassifiziert,27. Jul.,25,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,1155,Mottorrad (50cc),Gut
2173,nicht klassifiziert,11. Jan.,20,Fahrer,1,Dunkelheit: keine Strassenbeleuchtung,2,2,nass / feucht,männlich,1840,Auto,Gut
2174,nicht klassifiziert,22. Sep.,34,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,840,Fahrrad,Gut
2175,Landesstrasse,3. Aug.,22,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,1635,Auto,Gut
2176,nicht klassifiziert,27. Sep.,45,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1822,Auto,Gut
2177,Autobahn,16. Jun.,21,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,3,3,nass / feucht,männlich,1040,Auto,Gut
2178,Bundesstrasse,10. Apr.,25,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,1720,Auto,Gut
2179,nicht klassifiziert,23-Dec-09,60,Fussgänger,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,Frost / Eis,männlich,2050,Auto,Schnee
2180,Kraftfahrzeugstrasse,20. Jan.,45,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,trocken,männlich,145,Taxi,Gut
2181,nicht klassifiziert,7. Nov.,36,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1250,Fahrrad,Gut
2182,Bundesstrasse,11-Dec-10,21,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,1,nass / feucht,weiblich,2030,Bus,Unbekannt
2183,nicht klassifiziert,5. Jul.,42,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,1240,Taxi,Gut
2184,nicht klassifiziert,10. Okt.,65,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,1025,Auto,Gut
2185,Bundesstrasse,30. Sep.,27,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,751,Auto,Gut
2186,Bundesstrasse,05-Dec-09,19,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,nass / feucht,männlich,40,Auto,Gut
2187,nicht klassifiziert,16. Jun.,25,Passagier,1,Dunkelheit: Strassenbeleuchtung unbekannt,1,1,trocken,männlich,113,Taxi,Gut
2188,Landesstrasse,3. Jul.,25,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,1055,Auto,Gut
2189,nicht klassifiziert,28. Jul.,27,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,1500,Auto,Gut
2190,nicht klassifiziert,24. Jun.,26,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,1755,Auto,Gut
2191,nicht klassifiziert,20. Sep.,54,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,703,Auto,Gut
2192,Bundesstrasse,2. Nov.,32,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,1029,Auto,Gut
2193,nicht klassifiziert,6. Okt.,7,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1605,Auto,Gut
2194,Bundesstrasse,16. Jun.,53,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,4,2,nass / feucht,männlich,1900,Auto,Gut
2195,nicht klassifiziert,2. Feb.,45,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,2,nass / feucht,männlich,125,Auto,Gut
2196,nicht klassifiziert,2. Jul.,32,Fahrer,2,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,1400,Fahrrad,Gut
2197,nicht klassifiziert,16. Jan.,20,Fussgänger,1,Dunkelheit: Strassenbeleuchtung unbekannt,1,1,nass / feucht,männlich,1715,Auto,Unbekannt
2198,Bundesstrasse,2. Jan.,26,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,2,Schnee,männlich,1820,Auto,Schnee
2199,Bundesstrasse,21. Dez.,66,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,3,2,nass / feucht,männlich,2015,Auto,Gut
2200,nicht klassifiziert,2. Feb.,53,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,4,5,nass / feucht,männlich,1800,Auto,Gut (starker Wind)
2201,nicht klassifiziert,19. Jul.,17,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,nass / feucht,männlich,945,Mottorrad,Regen
2202,nicht klassifiziert,01-Dec-12,31,Passagier,1,Dunkelheit: Strassenbeleuchtung unbekannt,5,2,trocken,männlich,2325,Auto,Gut
2203,Landesstrasse,23. Apr.,19,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,1,2,trocken,männlich,120,Mottorrad (125cc),Gut
2204,Autobahn,6. Jun.,33,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,nass / feucht,männlich,1319,Auto,Regen
2205,Autobahn,16. Sep.,18,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,1243,Auto,Gut
2206,Bundesstrasse,15-May-09,23,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,nass / feucht,männlich,856,Auto,Regen
2207,nicht klassifiziert,17. Dez.,83,Fussgänger,2,Tageslicht: Strassenbeleuchtung vorhanden,1,1,nass / feucht,männlich,957,Auto,Gut
2208,nicht klassifiziert,25-Mar-11,4,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1815,Auto,Gut
2209,nicht klassifiziert,17. Sep.,20,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,4,2,nass / feucht,männlich,2121,Auto,Regen
2210,Bundesstrasse,26. Jan.,47,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,trocken,weiblich,1655,Mottorrad (125cc),Gut
2211,nicht klassifiziert,28. Jun.,17,Fahrer,2,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,735,Mottorrad (50cc),Gut
2212,nicht klassifiziert,04-May-12,19,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,1000,Auto,Gut
2213,nicht klassifiziert,09-May-09,36,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,5,2,trocken,weiblich,1740,Auto,Gut
2214,nicht klassifiziert,19. Jun.,18,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,1833,Mottorrad (50cc),Gut
2215,Landesstrasse,5. Nov.,24,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,nass / feucht,männlich,1510,Auto,Regen
2216,nicht klassifiziert,7. Mai.,33,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,3,2,trocken,weiblich,2220,Taxi,Gut
2217,Bundesstrasse,23-Oct-10,85,Fahrer,2,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,2,trocken,männlich,2100,Auto,Gut
2218,Bundesstrasse,10. Apr.,51,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,1541,Auto,Gut
2219,nicht klassifiziert,14. Feb.,34,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,4,2,trocken,weiblich,1953,Auto,Gut
2220,Bundesstrasse,16. Sep.,45,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,4,2,trocken,männlich,1435,Auto,Gut
2221,nicht klassifiziert,10. Sep.,48,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,nass / feucht,weiblich,1110,Auto,Gut
2222,Bundesstrasse,03-Oct-09,22,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,3,2,trocken,weiblich,1620,Auto,Gut (starker Wind)
2223,Bundesstrasse,15. Mrz.,21,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,1818,Auto,Gut
2224,nicht klassifiziert,10. Aug.,20,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,3,trocken,weiblich,2155,Mottorrad (125cc),Gut
2225,nicht klassifiziert,30. Sep.,22,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,845,Fahrrad,Gut
2226,nicht klassifiziert,27-Oct-11,10,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,1052,Auto,Gut
2227,Autobahn,24-Mar-10,23,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,3,trocken,weiblich,710,Auto,Gut
2228,Autobahn,16. Sep.,65,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1535,Auto,Unbekannt
2229,Bundesstrasse,22. Jun.,49,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,nass / feucht,männlich,945,Fahrrad,Gut
2230,nicht klassifiziert,6. Dez.,44,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,nass / feucht,weiblich,1630,Auto,Gut
2231,Bundesstrasse,2. Aug.,34,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,2000,Fahrrad,Gut
2232,Bundesstrasse,25. Mai.,32,Fussgänger,1,Dunkelheit: Strassenbeleuchtung unbekannt,1,1,trocken,männlich,1950,Auto,Gut
2233,Autobahn,16. Jul.,48,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,nass / feucht,männlich,1130,Auto,Gut
2234,nicht klassifiziert,10. Jul.,7,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1805,Auto,Gut
2235,nicht klassifiziert,13. Jan.,25,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,830,Auto,Gut
2236,Bundesstrasse,6. Nov.,26,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,3,3,nass / feucht,männlich,2302,Auto,Gut
2237,Landesstrasse,19. Jun.,33,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,1,2,trocken,weiblich,1959,Auto,Gut
2238,nicht klassifiziert,4. Nov.,43,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,730,Bus,Gut
2239,nicht klassifiziert,6. Sep.,28,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,3,2,trocken,weiblich,1745,Auto,Gut
2240,Bundesstrasse,8. Jan.,54,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,3,2,trocken,weiblich,1200,Auto,Gut
2241,Bundesstrasse,07-Dec-10,59,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,2,nass / feucht,weiblich,1945,Auto,Gut
2242,nicht klassifiziert,12. Jul.,36,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,2,nass / feucht,männlich,40,Auto,Regen
2243,nicht klassifiziert,07-Oct-09,32,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1650,Auto,Gut
2244,Autobahn,25. Jul.,23,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,6,3,trocken,weiblich,1915,Auto,Gut
2245,nicht klassifiziert,31. Aug.,2,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,1315,Auto,Gut
2246,Bundesstrasse,22-Dec-12,67,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,1,2,trocken,weiblich,1935,Mottorrad (50cc),Gut
2247,nicht klassifiziert,14. Aug.,18,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,1445,Auto,Gut
2248,nicht klassifiziert,26. Jan.,39,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1440,Bus,Gut
2249,nicht klassifiziert,29. Aug.,70,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,1,nass / feucht,männlich,2314,Auto,Regen
2250,nicht klassifiziert,14. Feb.,19,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,3,1,trocken,weiblich,1741,Taxi,Gut
2251,Bundesstrasse,5. Nov.,38,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,nass / feucht,weiblich,810,Auto,Regen
2252,Bundesstrasse,10-Dec-11,41,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,4,nass / feucht,männlich,1432,Auto,Gut
2253,nicht klassifiziert,26. Aug.,18,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,2115,Auto,Gut
2254,nicht klassifiziert,21. Feb.,24,Passagier,2,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,3,2,trocken,weiblich,2208,Auto,Gut
2255,nicht klassifiziert,1. Apr.,9,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,4,2,trocken,weiblich,834,Auto,Gut
2256,Landesstrasse,31. Jul.,39,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,1,1,nass / feucht,männlich,640,Auto,Regen
2257,Landesstrasse,27. Feb.,68,Passagier,2,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,1105,Bus,Gut
2258,nicht klassifiziert,17. Dez.,11,Fussgänger,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,1,nass / feucht,männlich,1624,Auto,Gut
2259,Bundesstrasse,13. Apr.,19,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1815,Fahrrad,Gut
2260,Bundesstrasse,11. Sep.,20,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,1240,Bus,Gut
2261,nicht klassifiziert,18-Dec-09,41,Fussgänger,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,1,Frost / Eis,männlich,1630,Auto,Gut
2262,nicht klassifiziert,19. Jun.,27,Fussgänger,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,1,trocken,männlich,2235,Auto,Gut
2263,Bundesstrasse,16. Jan.,23,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,nass / feucht,weiblich,1055,Auto,Gut
2264,Bundesstrasse,8. Feb.,25,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,4,1,Frost / Eis,weiblich,130,Auto,Gut
2265,nicht klassifiziert,29. Jul.,40,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,3,nass / feucht,weiblich,1330,Auto,Andere
2266,Bundesstrasse,28. Aug.,55,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,2,trocken,männlich,2355,Auto,Gut
2267,Landesstrasse,26. Jun.,72,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,1415,Bus,Gut
2268,nicht klassifiziert,29. Apr.,63,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1610,Auto,Gut
2269,nicht klassifiziert,25. Jul.,55,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,1520,Transporter,Gut
2270,nicht klassifiziert,17. Nov.,23,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,3,nass / feucht,weiblich,836,Auto,Gut
2271,nicht klassifiziert,8. Sep.,55,Fussgänger,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,1,trocken,weiblich,2035,Auto,Gut
2272,Bundesstrasse,22. Aug.,33,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1045,Fahrrad,Gut
2273,nicht klassifiziert,18. Jul.,51,Fussgänger,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,1,trocken,männlich,2307,Auto,Gut
2274,nicht klassifiziert,21. Mrz.,55,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,3,nass / feucht,weiblich,1443,Auto,Regen
2275,nicht klassifiziert,6. Feb.,20,Fahrer,2,Tageslicht: Strassenbeleuchtung vorhanden,1,2,nass / feucht,männlich,1020,Mottorrad (50cc),Gut
2276,Landesstrasse,23. Jul.,28,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1350,Auto,Gut
2277,nicht klassifiziert,12. Aug.,23,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,1,trocken,weiblich,2135,Auto,Gut
2278,nicht klassifiziert,20-Mar-11,21,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,trocken,weiblich,2125,Auto,Gut
2279,Bundesstrasse,28. Apr.,23,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,735,Mottorrad (50cc),Gut
2280,Bundesstrasse,13. Nov.,30,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,1,4,trocken,männlich,1700,Auto,Gut
2281,Bundesstrasse,21. Jul.,55,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,3,trocken,weiblich,1150,Auto,Gut
2282,Autobahn,10. Nov.,34,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,3,trocken,männlich,1135,Transporter,Gut
2283,nicht klassifiziert,02-Dec-11,49,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,2,nass / feucht,männlich,655,Auto,Gut
2284,Landesstrasse,7. Jan.,20,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1300,Fahrrad,Gut
2285,nicht klassifiziert,11-Dec-09,18,Fussgänger,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,1,nass / feucht,männlich,1635,Auto,Gut
2286,nicht klassifiziert,2. Sep.,14,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,4,2,trocken,männlich,207,Auto,Gut (starker Wind)
2287,nicht klassifiziert,09-Dec-09,25,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,1,trocken,männlich,1837,Bus,Gut
2288,nicht klassifiziert,6. Jan.,8,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,Schnee,weiblich,1445,Taxi,Gut
2289,nicht klassifiziert,10. Nov.,25,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,3,trocken,männlich,1325,Auto,Gut
2290,nicht klassifiziert,15-Oct-12,41,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,1340,Bus,Gut
2291,nicht klassifiziert,26. Jul.,84,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1100,Bus,Gut
2292,Bundesstrasse,9. Jun.,36,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,5,2,trocken,männlich,2205,Auto,Gut
2293,nicht klassifiziert,4. Jan.,20,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,1435,Auto,Gut
2294,Autobahn,19. Dez.,41,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,4,trocken,männlich,1135,Auto,Gut
2295,Bundesstrasse,03-Dec-09,38,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,2,nass / feucht,weiblich,615,Auto,Gut
2296,Bundesstrasse,27. Sep.,45,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,1220,Auto,Gut
2297,Kraftfahrzeugstrasse,10. Nov.,19,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,1,trocken,männlich,2035,Auto,Gut
2298,Landesstrasse,15-Oct-09,50,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,1355,Auto,Gut
2299,Bundesstrasse,3. Feb.,20,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,Schnee,männlich,1800,Auto,Gut
2300,nicht klassifiziert,10. Feb.,37,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,1430,Auto,Gut
2301,Bundesstrasse,7. Apr.,37,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,915,Fahrrad,Gut
2302,Bundesstrasse,7. Jul.,23,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,nass / feucht,männlich,1642,Auto,Gut
2303,Bundesstrasse,17. Sep.,24,Fussgänger,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,3,3,trocken,männlich,2210,Auto,Gut
2304,Bundesstrasse,12. Jun.,28,Fahrer,2,Tageslicht: Strassenbeleuchtung vorhanden,2,2,nass / feucht,männlich,1329,Taxi,Regen
2305,nicht klassifiziert,07-May-10,23,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,5,2,trocken,weiblich,1740,Auto,Gut
2306,Bundesstrasse,22. Aug.,27,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,2,2,trocken,weiblich,620,Auto,Gut
2307,nicht klassifiziert,6. Feb.,26,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,nass / feucht,männlich,755,Mottorrad (50cc),Gut
2308,Bundesstrasse,21-Mar-09,47,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1445,Bus,Gut
2309,Bundesstrasse,15. Jul.,18,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,1240,Auto,Gut
2310,nicht klassifiziert,3. Jul.,47,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,nass / feucht,männlich,1447,Auto,Regen
2311,Bundesstrasse,27. Feb.,10,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,nass / feucht,männlich,1550,Auto,Gut
2312,nicht klassifiziert,14-Dec-11,65,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,930,Auto,Gut
2313,Bundesstrasse,27. Jul.,42,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,3,2,trocken,männlich,1655,Auto,Gut
2314,Landesstrasse,10. Apr.,21,Fussgänger,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,1,trocken,männlich,100,Auto,Gut
2315,nicht klassifiziert,13. Feb.,18,Fussgänger,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,1,nass / feucht,männlich,2145,Auto,Gut
2316,nicht klassifiziert,6. Jul.,19,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1600,Bus,Gut
2317,nicht klassifiziert,11. Sep.,18,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,1240,Auto,Gut
